Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Sampling and laboratory testing,Food Safety,Level of Detection (LoD),"Measured analyte concentration, obtained by a given measurement procedure, for which the probability of detection is x. In this protocol x= 50, i.e. LOD50 is the level of detection for which 50 % of tests give a positive result.",,,,https://www.nmkl.org/index.php/nb/nordval-validation-protocol,,,,Report,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,NordVal-protocol,"Do., Apr. 4 2019 11:37:55",,LevelofDetectionLoD_b372b781-150e-46fc-9c08-37e163d45988
Sampling and laboratory testing; Data processing and analysis,Shared Term,library preparation,Peparing purified DNA for NGS. Fragmentizes long DNA strands and ligates primers and other sequencing related bits.,,,,https://bitesizebio.com/webinar/next-generation-sequencing-library-preparation-concepts-and-tips-and-tricks/,,,,Website,"Next Generation Sequencing Library Preparation: Concepts, Tips and Tricks",Accessed on: 23.04.2019,,,,,"Do., Apr. 4 2019 11:37:55",23.04.2019 04:33:03,librarypreparation_0ff08f68-1b92-49f7-8e59-0b7ce59a7dbf
Data processing and analysis;Dissemination,Shared Term,linked data,"Linked data is a set of design principles for sharing machine-readable data on the Web for use by public administrations, business and citizens.",,,,https://www.w3.org/DesignIssues/LinkedData.html,,,,Website,W3C - Linked Data,Accessed on: 23.04.2019,Berners-Lee T.,,,,"Do., Apr. 4 2019 11:37:38",23.04.2019 01:24:18,linkeddata_c538de9c-2fb5-4424-aa72-fe5aeeb6e7c1
Others,Public Health,lot,,,,,,,,,ORION preliminary definition,,,,,,,,,lot_d2e2bb4c-d65b-48f8-ac07-110ced9aeff4
Sampling and laboratory testing,Animal Health,lot,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:55",,lot_3cdf7139-a707-4b23-9358-13959175fb3b
Sampling and laboratory testing,Food Safety,lot,"A lot is a definite quantity of some commodity manufactured or produced under conditions, which are presumed uniform.",,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,,,,Report,General Guidelines on Sampling CAC/GL 50-2004,2004,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:55",,lot_b70d9eee-5199-44ac-8ece-5e8388a7f944
Type of study,Animal Health,medical surveillance,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:55",,medicalsurveillance_c94ee216-b91c-42ef-8a57-2c154b9c5cf6
Type of study,Food Safety,medical surveillance,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:55",25.04.2019 02:24:51,medicalsurveillance_2b81e8ab-163e-4b2f-9d76-5fcd3b4e4781
Type of study,Public Health,medical surveillance,"monitoring of a person who might have been exposed to an infectious, chemical, radiologic, or other potentially causal agent, for the purpose of detecting early symptoms",,,,https://www.cdc.gov/csels/dsepd/ss1978/Glossary.html#surveillanceMedical,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Acccessed on: 13.04.2019,,CDC,,,"Do., Apr. 4 2019 11:37:55",,medicalsurveillance_2f844ebf-2a86-4c00-915f-805724a7b48b
Data processing and analysis,Shared Term,metadata,"Literally, data about data; data that defines and describes the characteristics of other data, used to improve understanding of data and data-related processes.",,,,https://dictionary.casrai.org/Metadata,,,,Website,The CASRAI dictionary,2015,,CASRAI,,,"Do., Apr. 4 2019 11:37:55",16.04.2019 00:44:36,metadata_a15de839-16c2-4468-832e-7bd1fdefb0e6
Data processing and analysis,Shared Term,metadata standard,"A metadata standard is a requirement which is intended to establish a common understanding of the meaning or semantics of the data, to ensure correct and proper use and interpretation of the data by its owners and users. To achieve this common understanding, a number of characteristics, or attributes of the data have to be defined, also known as metadata",,,,https://en.wikipedia.org/wiki/Metadata_standard,,,,Website,Metadata standard,2019,,Wikipedia,,,"Do., Apr. 4 2019 11:37:56",16.04.2019 00:46:49,metadatastandard_4af46b2a-64c0-4d3e-bb3c-c72df443d604
Type of study,Animal Health,microbial surveillance,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",,microbialsurveillance_46247045-025a-40b8-93fd-944029050497
Type of study,Food Safety,microbial surveillance,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",25.04.2019 02:25:37,microbialsurveillance_139c1b1b-1a22-4d1a-a867-b4dcd2745c8e
Type of study,Public Health,microbial surveillance,"Characterization of microorganisms for the purpose of surveillance, outbreak detection, method quality assurance and evaluation of preventive measures e.g vaccinations",,,,https://www.folkhalsomyndigheten.se/the-public-health-agency-of-sweden/microbiology-and-diagnostics/microbiological-surveillance/,,,,Website,Microbiological surveillance,Accessed on: 23.04.2019,,Public Health Agency of Sweden,,FOHM definition - to obtain source/reference?,"Do., Apr. 4 2019 11:37:56",23.04.2019 04:46:41,microbialsurveillance_56a2b8b5-5504-4dbb-8b41-5d640478dfc5
Epidemiology,Shared Term,microbiological cluster,A group of isolates that are related to each other at a defined genetic threshold (WGS cluster)/defined level of phenotypic test result similarity,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",29.04.2019 00:02:10,microbiologicalcluster_f97fb394-707c-40f3-b441-d8c6348881cc
Regulatory,Food Safety,microbiological criterion,"criterion defining the acceptability of a product, a batch of foodstuffs or a process, based on the absence, presence or number of microorganisms, and/or on the quantity of their toxins/metabolites, per unit(s) of mass, volume, area or batch.",,,,ELI: http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs ,2005,European Commission,,,,Thu Apr 04 2019 11:37:56 GMT+0200 (MESZ),14.05.2019 16:28:41,microbiologicalcriterion_82427c95-8145-40b6-b0fa-fa99b03d8f02
Others,Public Health,microbiological criterion,,,,,,,,,ORION preliminary definition,,,,,,,,,microbiologicalcriterion_85ded6bc-8035-4928-b3d1-f5402583b963
Regulatory,Animal Health,microbiological criterion,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",,microbiologicalcriterion_05ac6c1c-0939-4163-9bde-e34c094eee8e
Others,Public Health,microbiological evidence,,,,,,,,,ORION preliminary definition,,,,,,,,,microbiologicalevidence_bf1de7a3-b40f-4451-a1d3-1fceb7be7106
Epidemiology,Animal Health,microbiological evidence,"detection of a causative agent in a food vehicle or its component or in the food chain or its environment combined with detection in human cases, or clinical symptoms and an onset of illness in outbreak cases strongly indicative/pathognomonic to the causative agent identified in the food vehicle or its component or in the food chain or its environment.",,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,10.2903/sp.efsa.2018.EN-1370,,,Report,"Manual for reporting on zoonoses and zoonotic agents, within the framework of Directive 2003/99/EC, and on some other pathogenic microbiological agents for information derived from the year 2017",2018,,EFSA,,,"Do., Apr. 4 2019 11:38:18",29.04.2019 01:03:35,microbiologicalevidence_86057e67-ea16-4885-bfb6-25b551b2e026
Epidemiology,Food Safety,microbiological evidence,"detection of a causative agent in a food vehicle or its component or in the food chain or its environment. for Outbreak surveillance further: combined with detection in human cases, or clinical symptoms and an onset of illness in outbreak cases strongly indicative/pathognomonic to the causative agent identified in the food vehicle or its component or in the food chain or its environment.",,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,10.2903/sp.efsa.2018.EN-1370,,,Report,"Manual for reporting on zoonoses and zoonotic agents, within the framework of Directive 2003/99/EC, and on some other pathogenic microbiological agents for information derived from the year 2017",2018,,EFSA,,,"Do., Apr. 4 2019 11:37:56",25.04.2019 02:27:10,microbiologicalevidence_2988a62a-048b-476a-8024-5690cbb31d8f
Sampling and laboratory testing; Epidemiology,Food Safety,microorganisms,"bacteria, viruses, yeasts, moulds, algae, parasitic protozoa, microscopic parasitic helminths, and their toxins and metabolites",,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:56",,microorganisms_e2e96762-7f1a-469a-bf85-43a8ba3fb641
Sampling and laboratory testing; Epidemiology,Animal Health,microorganisms,"bacteria, viruses, yeasts, moulds, algae, parasitic protozoa, microscopic parasitic helminths, and their toxins and metabolites",,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:38:18",,microorganisms_6f746947-1c61-4574-8ea3-3a011251eb48
Others,Public Health,microorganisms,,,,,,,,,ORION preliminary definition,,,,,,,,,microorganisms_39684cd6-1e94-49bd-9859-467fffc65655
Data processing and analysis,Animal Health,minimum spanning (ms) tree,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",,minimumspanningmstree_f231d8c7-ff1e-4ede-beef-213afc0668cd
Data processing and analysis,Food Safety,minimum spanning (ms) tree,constructs the tree with the least internal distance possible.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:13",29.04.2019 01:14:57,minimumspanningmstree_d235fc11-207b-4f46-bad4-812ca7b4736d
Data processing and analysis,Public Health,minimum spanning (ms) tree,constructs the tree with the least internal distance possible.,,,,https://www.statisticshowto.datasciencecentral.com/minimum-spanning-tree/,,,,Website,"Minimum Spanning Tree: Definition, Examples, Prim’s Algorithm",Accessed on: 23.04.2019,,Statistics How to,,,"Do., Apr. 4 2019 11:37:56",23.04.2019 05:06:46,minimumspanningmstree_53b866af-fe6d-489c-987e-29c0e0019678
Others,Animal Health,modified atmosphere packaging,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:56",,modifiedatmospherepackaging_04db1462-b0d8-4588-9d9d-ceb63af5339b
Others,Public Health,modified atmosphere packaging,Term not used in this sector,original definition,,,,,,,ORION preliminary definition,,,,,,,,16.05.2019 11:11:44,modifiedatmospherepackaging_c5c31526-2e06-48c5-b620-a2a668668ad9
Sampling and laboratory testing,Food Safety,modified atmosphere packaging,"(MAP) Sealed packaging using a predefined composition of gasses to substitute normal air. After the package is sealed, the gas composition is not manipulated further, but can change due to biological and chemical processes in the food.",original definition,,,https://books.google.no/books?hl=no&lr=&id=hvGiAgAAQBAJ&oi=fnd&pg=PA61&dq=modified+atmosphere+packaging&ots=AKHbjPc51P&sig=FNyk8A94BqADOBT9rw_ToTrP_vQ&redir_esc=y#v=onepage&q=modified%20atmosphere%20packaging&f=false,,,,Website,,,,,,"preliminary, based on literature (and common sence)",Thu Apr 04 2019 11:37:56 GMT+0200 (MESZ),16.05.2019 11:12:01,modifiedatmospherepackaging_ed1f2da6-3054-42ff-9839-5b0a374e1b06
Sampling and laboratory testing; Epidemiology,Shared Term,molecular serotype,the use of one or several molecular methods to derive the serotype (examples PCR and/or sequencing),,serotype; serovar, serovars_0e4930f8-1b10-4ee8-972b-7cbfb01a7e66; serotype_55200d2e-bc0c-4172-bf69-5123bc3cf5c6; serotype_3d4afcb8-623d-4dce-9e3c-f1251f7b1be0; molecularserotype_8d0434fd-4e99-4995-bae0-30e4a52f5e12; serovars_40163fb0-bc2c-4c6f-8133-ef8ff1b0bdde; serovars_8fb2b4af-56b9-4ccc-95be-6c4e463933b6; serovars_4d1b07e5-a8af-4489-a44e-5df865e9a01c; insilicoserotype_5a616f15-de81-49dd-a288-f2d8dbdd29d2; serovars_ac75bb92-358b-42d6-9cb3-24215191c5fc; serotype_067d769a-9aad-4ae0-a48a-976b8878a5ed; serotype_5e726ef9-0df4-48ee-b99f-9924bc510048,,,,,ORION preliminary definition,,,,,,ORION preliminary definition,"Do., Apr. 4 2019 11:37:56",29.04.2019 01:16:18,molecularserotype_8d0434fd-4e99-4995-bae0-30e4a52f5e12
Type of study,Shared Term,molecular surveillance,"Systematic, continuous or repeated, measurement, collection, collation, analysis, interpretation and timely dissemination of molecular-level information about micro-organisms. These data are then used to describe health hazard occurrence and to contribute to the planning, implementation, and evaluation of risk mitigation actions",,,,http://dx.doi.org/10.1111/zph.12230,10.1111/zph.12230,26537766,,Journal Article,Next-Generation’ surveillance: an epidemiologists’ perspective on the use of molecular information in food safety and animal health decision-making,2016,"Muellner, P., Stärk, K.D.C., Dufour, S., and Zadoks, R.N.",,Zoonoses and Public Health,Next-Generation’ surveillance: an epidemiologists’ perspective on the use of molecular information in food safety and animal health decision-making,"Do., Apr. 4 2019 11:38:22",29.04.2019 01:39:24,molecularsurveillance_e94bc49c-c97b-46cf-b506-0f6d0c8b6cbe
Epidemiology; Sampling and Laboratory testing,Food Safety,molecular typing,"The classification of microorganisms on the basis of variation in the genotype, and/ or presence or absence of specific genes (such as those which may contribute to the pathogenicity of the organism or to its ability to survive in less favourable environments)",,typing method, typingmethod_ee702ced-b0e3-4517-bcec-bb9b778158a3,https://efsa.onlinelibrary.wiley.com/doi/10.2903/sp.efsa.2019.EN-1534,10.2903/sp.efsa.2019.EN-1534,,,Report,Guidelines for reporting molecular typing data through EFSA's Data Collection Framework,2019,European Food Safety Authority (EFSA); Delfino A; Pasinato L; Rizzi V; Stoicescu AV,EFSA,,,"Do., Apr. 4 2019 11:37:38",,moleculartyping_b787f734-c8f3-4578-b2e2-20aaba2dd499
